name,brand,cpu_name,cpu_brand,cpu_core_num,cpu_thread_num,gpu,Intel_gpu,AMD_gpu,NVIDIA_gpu,weight,battery,monitor_size,monitor_resolution_x,monitor_resolution_y,monitor_panel,monitor_display,monitor_torch_screen,monitor_blue_light_filter,monitor_LED_backlit,monitor_anti_glare,monitor_sRGB,monitor_refresh_rate,connection_type_c,connection_usb_a,connection_thunderbolt,ram_capacity,ram_type,ram_speed,HDD_capacity,SSD_capacity,price
AVITA Liber V14 Intel (LIBER V14L-PW),AVITA,Intel Core i7 10510U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.28,37.0,14.0,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,2400.0,0.0,1024.0,15490000.0
MSI Modern 14 B5M (AMD Ryzen 5000) (203VN),MSI,AMD Ryzen 5 5500U,AMD,6.0,12.0,Radeon™ Graphics,0.0,1.0,0.0,1.3,39.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,15490000.0
MSI Modern 14 C5M (030VN),MSI,AMD Ryzen 5-5625U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.4,39.0,14.0,1920.0,1080.0,IPS,,0,0,0,1,65.0,60.0,1.0,1.0,0,8.0,DDR4,3200.0,0.0,512.0,15490000.0
HP Laptop 15s (Intel Gen 11) (31D94PA),HP,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.69,41.0,15.0,1366.0,768.0,TN,Matte,0,0,0,0,60.0,60.0,1.0,2.0,0,8.0,DDR4,2666.0,0.0,512.0,15590000.0
Dell Vostro 15 3500 Intel gen 11 (Chính Hãng) (P90F006V3500C),Dell,Intel Core i5 1135G7,Intel,4.0,8.0,"Intel Iris XE, Nvidia MX 330",1.0,0.0,0.0,,42.0,15.6,1920.0,1080.0,WVA,Matte,0,0,0,0,,60.0,1.0,4.0,0,8.0,DDR4,3200.0,0.0,512.0,15790000.0
Dell Inspiron 14 5415,Dell,AMD Ryzen 5500U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.44,54.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,15790000.0
Dell Vostro 14 3400 Intel gen 11 (Chính Hãng) (V4I7015W),Dell,Intel Core i7 1165G7,Intel,4.0,8.0,"UHD Graphics, Geforce MX330",1.0,0.0,0.0,1.64,42.0,14.0,1920.0,1080.0,WVA,,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,15790000.0
GIGABYTE U4 (UD-50S1823SO),GIGABYTE,Intel Core i5 1155G7,Intel,4.0,8.0,Intel® Iris® Xe Graphics,1.0,0.0,0.0,0.99,36.0,14.0,1920.0,1080.0,IPS,,1,0,0,0,100.0,60.0,1.0,2.0,1,16.0,DDR4,3200.0,0.0,512.0,15790000.0
HP Pavilion 15 (Intel Gen 11) (2D9D5PA),HP,Intel Core i7 1165G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.75,41.0,15.6,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,15790000.0
Dell Vostro 5415,Dell,AMD Ryzen 5 5500U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.43,54.0,14.0,1920.0,1080.0,IPS,,0,0,0,1,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,15790000.0
HP Victus Gaming 16 AMD (Chính hãng) (16-e0177AX),HP,AMD Ryzen 5 5600H,AMD,6.0,12.0,"AMD Radeon Graphics, Nvidia GTX 1650",0.0,1.0,0.0,,70.0,16.1,1920.0,1080.0,IPS,Matte,0,0,0,0,,144.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,15890000.0
Asus Vivobook 14X OLED AMD 2022 (M1403QA-LY023W),Asus,AMD Ryzen 5 5600H,AMD,6.0,12.0,"Radeon Vega 7 Graphics, AMD",0.0,1.0,0.0,1.6,50.0,14.0,1920.0,1200.0,IPS,,0,0,0,1,,,1.0,2.0,0,8.0,DDR4,,0.0,512.0,15990000.0
AVITA Liber V14 AMD (LIBER V14Q-SP),AVITA,AMD Ryzen 7 3700U,AMD,4.0,8.0,AMD Radeon Vega 10,0.0,1.0,0.0,1.28,37.0,14.0,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,2400.0,0.0,512.0,15990000.0
Xiaomi RedmiBook 15 (JYU4506AP),Xiaomi,Intel Core i5-11300H,Intel,2.0,4.0,Đồ họa Intel® Iris® XE,1.0,0.0,0.0,1.8,48.0,15.0,1920.0,1080.0,IPS,,0,0,0,1,,,0.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,15990000.0
MSI Modern 14 B11 (668VN),MSI,Intel Core i5-1155G7,Intel,4.0,8.0,MX450,0.0,0.0,0.0,1.3,52.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,15990000.0
Dell Latitude 5400,Dell,Intel Core i5 8365U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.48,56.0,14.0,1920.0,1080.0,WVA,Matte,0,0,0,0,62.0,60.0,1.0,3.0,1,8.0,DDR4,2400.0,0.0,256.0,15990000.0
Lenovo IdeaPad 730s,Lenovo,Intel Core i7 8565U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.1,42.0,13.0,1920.0,1080.0,IPS,Glossy,0,0,0,0,95.0,60.0,2.0,0.0,1,16.0,LPDDR3L,2133.0,0.0,256.0,15990000.0
Dell Vostro 5415 (P143G002AGR),Dell,AMD Ryzen 3 5300U,AMD,4.0,8.0,AMD Radeon Graphics,0.0,1.0,0.0,1.43,54.0,14.0,1920.0,1080.0,IPS,,0,0,0,1,,60.0,1.0,2.0,0,8.0,,3200.0,0.0,256.0,15990000.0
Dell Inspiron 15 3511 Intel gen 11 (Chính hãng) (P112F001ABL),Dell,Intel Core i3-1115G4,Intel,2.0,4.0,Intel® Core™ UHD Graphics,1.0,0.0,0.0,1.7,41.0,15.6,1920.0,1080.0,WVA,,0,0,0,0,,,0.0,3.0,0,4.0,DDR4,2666.0,0.0,256.0,15990000.0
HP Envy 15 X360,HP,AMD Ryzen™ 5 5625U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.77,51.0,15.6,1920.0,1080.0,IPS,,1,0,0,1,100.0,60.0,2.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,15990000.0
Dell Latitude 14 7400 2 in 1,Dell,Intel Core i7 8665U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.36,60.0,14.0,1920.0,1080.0,IPS,Matte,1,0,0,0,95.0,60.0,2.0,2.0,1,16.0,LPDDR3,2133.0,0.0,256.0,15990000.0
HP Envy 13 X360,HP,AMD Core i5 1135G7,Intel,4.0,8.0,Intel Iris XE,1.0,0.0,0.0,,51.0,13.3,1920.0,1080.0,IPS,Glossy,1,0,0,0,,60.0,1.0,2.0,1,8.0,DDR4,3200.0,0.0,256.0,15990000.0
Bàn nâng hạ NiceSpace Oval Plus (Chân bàn tròn - 3 Level) (Cao cấp) (Mặt bàn vân gỗ sáng - Khung bàn đen - 2 Motor),Other,AMD Ryzen™ 5 6600H,AMD,6.0,12.0,AMD Radeon™ 660M,0.0,1.0,0.0,1.23,56.0,13.3,,,,,0,0,0,1,,,2.0,1.0,0,16.0,LPDDR5,6400.0,0.0,1024.0,16080000.0
HP ProBook 455 G7 (Chính hãng) (1A1A9PA),HP,AMD Ryzen 5 4500U,AMD,6.0,6.0,Radeon Graphics,0.0,1.0,0.0,2.0,45.0,15.6,1920.0,1080.0,IPS,Matte,0,0,0,0,60.0,60.0,1.0,3.0,0,4.0,DDR4,3200.0,0.0,256.0,16490000.0
ASUS Vivobook 15 D515 (D515UA-EJ082T),Asus,AMD Ryzen 7 5700U,AMD,8.0,16.0,AMD Radeon Graphics,0.0,1.0,0.0,1.9,37.0,15.6,1920.0,1080.0,TN,Matte,1,0,0,0,,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,16490000.0
Dell Vostro 3510 Intel Gen 11 (Chính hãng) (7T2YC1),Dell,Intel Core i5-1135G7,Intel,4.0,8.0,Iris® Xᵉ Graphics,0.0,0.0,0.0,1.69,41.0,15.6,1920.0,1080.0,IPS,,0,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,16590000.0
Lenovo ThinkBook 13s G2 Intel (Chính hãng) (20V900E2VN),Lenovo,Intel Core i7-1165G7,Intel,4.0,8.0,Iris Xe,0.0,0.0,0.0,1.26,56.0,13.3,2560.0,1600.0,IPS,,0,0,0,0,100.0,,1.0,2.0,1,8.0,LPDDR4x,4266.0,0.0,512.0,16590000.0
HP Laptop 15s (Intel Gen 11) (2Q5Y3PA),HP,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.69,41.0,15.0,1366.0,768.0,TN,Matte,0,0,0,0,60.0,60.0,1.0,2.0,0,8.0,DDR4,2666.0,0.0,512.0,16590000.0
HP 15s-fq5081TU (6K7A1PA),HP,Intel Core i5 1235U,Intel,10.0,12.0,Intel Iris Xe,1.0,0.0,0.0,1.69,41.0,15.6,1366.0,768.0,IPS,,0,0,1,0,65.0,,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,16890000.0
Asus Vivobook Flip 14 TM420 (TM420IA-EC031T),Asus,AMD Ryzen 5 4500U,AMD,6.0,6.0,AMD Radeon Graphics,0.0,1.0,0.0,1.5,50.0,14.0,1920.0,1080.0,IPS,Glossy,1,0,0,0,64.0,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,16990000.0
"Surface Laptop 4 13.5"" AMD",Microsoft,AMD Ryzen 5 4680U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.26,46.0,13.5,2256.0,1504.0,IPS,Glossy,1,0,0,0,,60.0,1.0,1.0,0,8.0,,4266.0,0.0,128.0,16990000.0
Asus Zenbook Flip 15 Q508,Asus,AMD Ryzen 7 5700U,AMD,8.0,16.0,NVIDIA® GeForce® MX450 2GB GDDR6,0.0,0.0,1.0,1.9,56.0,15.6,1920.0,1080.0,IPS,,1,0,0,0,,,1.0,2.0,0,8.0,LPDDR4x,,0.0,256.0,16990000.0
HP 15s Intel (Chính hãng) (63P88PA),HP,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Graphics,1.0,0.0,0.0,1.74,41.0,15.6,1366.0,768.0,TN,,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,16990000.0
Lenovo ThinkBook 13s Gen 2,Lenovo,AMD Ryzen 5 5600U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.26,56.0,13.3,2560.0,1600.0,IPS,,1,0,0,1,100.0,,1.0,2.0,1,16.0,,4266.0,0.0,512.0,16990000.0
Dell XPS 15 7590,Dell,Intel Core i5 9300H,Intel,4.0,8.0,Intel UHD 630,1.0,0.0,0.0,1.8,57.0,15.0,1920.0,1080.0,IPS,Matte,0,0,0,0,98.0,60.0,1.0,2.0,1,8.0,DDR4,2666.0,0.0,256.0,16990000.0
Asus VivoBook X1402 (Intel Gen 12th) (X1402ZA-EK084W),Asus,Intel Core i5-1240P,Intel,12.0,16.0,Intel Iris Xᵉ Graphics,1.0,0.0,0.0,1.5,42.0,14.0,1920.0,1080.0,IPS,,0,0,0,1,,,1.0,3.0,0,8.0,DDR4,3200.0,0.0,256.0,17290000.0
Dell Latitude 3410 (Chính hãng) (L3410I5SSD),Dell,Intel Core i5 10210U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.53,40.0,14.0,1366.0,768.0,TN,Matte,1,0,0,0,,60.0,1.0,3.0,0,8.0,DDR4,2666.0,0.0,256.0,17390000.0
Dell Latitude 7320 Detachable (Kèm bàn phím),Dell,Intel Core™ i5-1140G7,Intel,4.0,8.0,Intel® Iris® Xe Graphics,1.0,0.0,0.0,1.18,40.0,13.3,1920.0,1280.0,IPS,,1,0,0,0,,,2.0,0.0,1,8.0,LPDDR4x,4267.0,0.0,256.0,17390000.0
Asus Vivobook 15 A515 (A515EA-BQ498T),Asus,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.8,42.0,15.0,1920.0,1080.0,IPS,Matte,0,0,0,0,64.0,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,17390000.0
Dell Inspiron 16 5625,Dell,AMD AMD Ryzen 5 5625U,AMD,6.0,12.0,AMD Radeon™ Graphics,0.0,1.0,0.0,1.97,54.0,16.0,1920.0,1200.0,WVA,,0,0,0,1,,,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,17390000.0
HP 14s Intel (Chính hãng) (46M22PA),HP,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris XE,1.0,0.0,0.0,,41.0,14.0,1366.0,768.0,TN,Matte,0,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,17490000.0
Dell Inspiron 14 7420 2 in 1,Dell,Intel Core i5 1235U,Intel,10.0,12.0,Intel® Iris® Xe Graphics,1.0,0.0,0.0,1.57,54.0,14.0,1920.0,1200.0,IPS,,1,0,0,1,62.0,60.0,2.0,1.0,0,8.0,DDR4,3200.0,0.0,512.0,17490000.0
HP ProBook 455 G7 (Chính hãng) (1A1B0PA),HP,AMD Ryzen 5 4500U,AMD,6.0,6.0,Radeon Graphics,0.0,1.0,0.0,2.0,45.0,15.0,1920.0,1080.0,IPS,Matte,0,0,0,0,60.0,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,17490000.0
Acer Swift 3,Acer,AMD Ryzen 7 5700U,AMD,8.0,16.0,AMD Radeon Graphics,0.0,1.0,0.0,1.19,48.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,100.0,60.0,1.0,2.0,0,8.0,,4266.0,0.0,512.0,17490000.0
MSI Modern 15 B5M (023VN),MSI,AMD Ryzen R5-5625U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.7,39.3,15.6,1920.0,1080.0,IPS,,0,0,0,1,65.0,,1.0,1.0,0,8.0,DDR4,3200.0,0.0,512.0,17490000.0
MSI Modern 15 AMD A5M 2021 (239VN),MSI,AMD Ryzen 7 5700U,AMD,8.0,16.0,AMD Radeon™ Graphics,0.0,1.0,0.0,1.6,52.0,15.6,1920.0,1080.0,IPS,,0,0,0,0,,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,17490000.0
Acer Aspire 5 15 (Chính hãng) (NX.A1GSV.002),Acer,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.7,48.0,15.0,1920.0,1080.0,IPS,Matte,0,0,0,0,60.0,60.0,1.0,3.0,0,8.0,DDR4,2666.0,0.0,512.0,17590000.0
ASUS Vivobook 15 M513 (M513IA-EJ283T),Asus,AMD Ryzen 7 4700U,AMD,8.0,8.0,AMD Radeon Graphics,0.0,1.0,0.0,1.8,42.0,15.6,1920.0,1080.0,TN,Matte,1,0,0,0,,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,17690000.0
Lenovo ThinkPad X1 Carbon Gen 7,Lenovo,Intel Core i7 8665U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.1,51.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,98.0,60.0,2.0,2.0,1,16.0,LPDDR3,2133.0,0.0,256.0,17690000.0
Asus Vivobook Flip 14 TP470 (Intel) (TP470EA-EC347W),Asus,Intel Core i5 1135G7,Intel,4.0,8.0,Iris Xe Graphics,0.0,0.0,0.0,1.5,42.0,14.0,1920.0,1080.0,IPS,,1,0,0,0,65.0,60.0,1.0,1.0,1,8.0,,4266.0,0.0,512.0,17690000.0
Dell Vostro 5310,Dell,Intel Core i5 11320H,Intel,4.0,8.0,Intel Iris Xe Graphics,1.0,0.0,0.0,1.25,54.0,13.3,1920.0,1200.0,IPS,,0,0,0,0,100.0,60.0,2.0,1.0,1,16.0,LPDDR4x,4267.0,0.0,512.0,17790000.0
Asus Vivobook 14 (X1402ZA-EK085W),Asus,Intel Core i5 1240P,Intel,12.0,16.0,Intel UHD Graphics,1.0,0.0,0.0,1.5,42.0,14.0,1920.0,1080.0,IPS,,0,0,1,1,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,17790000.0
HP 15s-fq5079TU (6K799PA),HP,Intel Core i5 1235U,Intel,10.0,12.0,Intel Iris Xe,1.0,0.0,0.0,1.69,41.0,15.6,1366.0,768.0,IPS,,0,0,1,0,65.0,,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,17890000.0
Lenovo IdeaPad Yoga 6 AMD (Chính hãng) (82ND00BDVN),Lenovo,AMD Ryzen 7-5700U,AMD,8.0,16.0,AMD Radeon™ Graphics,0.0,1.0,0.0,1.31,60.0,13.3,1920.0,1080.0,IPS,,1,0,0,0,,60.0,2.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,17890000.0
Acer Swift 3 14 AMD (Chính hãng) (SF314-43-R4X3),Acer,AMD Ryzen 5 5500U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,,48.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,,60.0,0.0,2.0,0,16.0,,4266.0,0.0,512.0,17890000.0
Lenovo ThinkPad T590 (20N4001PUSLCR),Lenovo,Intel Core i7 8565U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.8,57.0,15.6,1920.0,1080.0,IPS,Matte,0,0,0,0,65.0,60.0,2.0,2.0,1,8.0,DDR4,2400.0,0.0,256.0,17990000.0
Dell Inspiron 14 7425 2 in 1,Dell,AMD Ryzen 5 5625U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.63,54.0,14.0,1920.0,1200.0,WVA,Glossy,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,17990000.0
HP Victus 15 (2022),HP,Intel Core i5 12450H,Intel,8.0,12.0,Nvidia GTX 1650 4GB GDDR6,0.0,0.0,0.0,2.29,,15.6,1920.0,1080.0,IPS,,0,0,0,1,,144.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,17990000.0
Microsoft Surface Pro 7 Plus,Microsoft,Intel Core i5-1135G7,Intel,4.0,8.0,Intel Iris Xe Graphics,1.0,0.0,0.0,0.77,48.9,12.3,2736.0,1824.0,IPS,,1,0,0,0,96.8,60.0,1.0,1.0,0,8.0,LPDDR4x,4267.0,0.0,128.0,17990000.0
MSI Modern 14 C12M (Iris Xe Graphics),MSI,Intel Core i5 1235U,Intel,10.0,12.0,Intel Iris Xe Graphics,1.0,0.0,0.0,1.4,39.3,14.0,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,1.0,0,8.0,DDR4,3200.0,0.0,512.0,17990000.0
ASUS VivoBook Pro 15X OLED AMD 2022 (M1503QA-L1028W),Asus,AMD Ryzen 5-5600H,AMD,6.0,12.0,"Radeon Graphics, AMD",0.0,1.0,0.0,1.7,70.0,15.6,1920.0,1080.0,OLED,,0,0,0,1,,,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,17990000.0
Lenovo Ideapad 5 Pro 14ACN6,Lenovo,AMD Ryzen 5 5600U,AMD,6.0,12.0,AMD Radeon™ Graphics,0.0,1.0,0.0,1.38,56.5,14.0,2240.0,1400.0,IPS,,1,0,0,0,100.0,60.0,2.0,2.0,0,16.0,DDR4,3200.0,0.0,512.0,17990000.0
MSI Bravo 15 AMD (Chính hãng) (264VN),MSI,AMD Ryzen 7-5800H,AMD,8.0,16.0,"Radeon Graphics, Radeon RX 5500M",0.0,1.0,0.0,2.35,53.5,15.6,1920.0,1080.0,IPS,,0,0,0,0,65.0,144.0,1.0,3.0,0,8.0,,,0.0,512.0,17990000.0
ASUS Zenbook 14 Q409ZA,Asus,Intel Core i5-1240P,Intel,12.0,16.0,Intel Iris Xe,1.0,0.0,0.0,1.39,75.0,14.0,2880.0,1800.0,OLED,,0,0,0,0,100.0,90.0,2.0,1.0,1,8.0,LPDDR5,5200.0,0.0,256.0,17990000.0
Lenovo ThinkPad X1 Carbon Gen 7 (20QD001WU S-LCR),Lenovo,Intel Core i7 8665U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.1,51.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,98.0,60.0,2.0,2.0,1,16.0,LPDDR3,2133.0,0.0,512.0,18290000.0
HP ProBook 455 G8 (Chính hãng) (3G0U6PA),HP,AMD Ryzen 5 5600U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.74,45.0,15.6,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,1.0,3.0,0,4.0,DDR4,3200.0,0.0,256.0,18290000.0
GIGABYTE G5 Gaming Laptop (GD-51S1123SO),GIGABYTE,Intel Core i5 11400H,Intel,6.0,12.0,"UHD Graphics, GeForce RTX™ 3050",1.0,0.0,1.0,2.2,48.96,15.6,1920.0,1080.0,IPS,,0,0,0,0,100.0,144.0,1.0,3.0,0,16.0,,,0.0,512.0,18390000.0
Huawei MateBook 14 2021,Huawei,Intel Core i5 1135G7,Intel,4.0,8.0,Iris XE,0.0,0.0,0.0,1.45,56.0,14.0,2160.0,1440.0,IPS,,0,0,0,0,100.0,60.0,1.0,0.0,0,8.0,DDR4,3200.0,0.0,512.0,18490000.0
HP Pavilion 14 (Intel Gen 11) (46L82PA),HP,Intel Core i5-1135G7,Intel,4.0,8.0,Intel® Iris® Xᵉ Graphics,1.0,0.0,0.0,1.41,43.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,18490000.0
Dell Latitude 7300,Dell,Intel Core i7 8665U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.25,42.0,13.0,1920.0,1080.0,IPS,Matte,0,0,0,0,91.0,60.0,1.0,2.0,1,8.0,DDR4,2400.0,0.0,256.0,18490000.0
Lenovo Ideapad Gaming 3 AMD,Lenovo,AMD Ryzen 5 5600H,AMD,6.0,12.0,NVIDIA RTX 3050Ti,0.0,0.0,1.0,2.25,45.0,15.6,1920.0,1080.0,IPS,,0,0,0,1,,120.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,18490000.0
Lenovo IdeaPad 5 15 AMD (Nhập khẩu) (81YQ007NUS),Lenovo,AMD Ryzen 7 4700U,AMD,8.0,8.0,AMD Radeon Graphics,0.0,1.0,0.0,1.66,57.0,15.6,1920.0,1080.0,TN,Matte,1,0,0,0,,60.0,1.0,2.0,0,16.0,DDR4,3200.0,0.0,512.0,18490000.0
HP Laptop 15s (Intel Gen 11) (2Q5Y7PA),HP,Intel Core i7 1165G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.69,41.0,15.0,1920.0,1080.0,TN,Matte,0,0,0,0,60.0,60.0,1.0,2.0,0,8.0,DDR4,2666.0,0.0,512.0,18490000.0
Acer Aspire 5 15 (Chính hãng) (NX.A1LSV.002),Acer,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.7,48.0,15.0,1920.0,1080.0,IPS,Matte,0,0,0,0,60.0,60.0,1.0,3.0,0,8.0,DDR4,2666.0,0.0,512.0,18590000.0
Lenovo IdeaPad 5 14 AMD (Chính hãng) (82LM004DVN),Lenovo,AMD Ryzen 7 5700U,AMD,8.0,16.0,AMD Radeon Graphics,0.0,1.0,0.0,1.39,45.0,14.0,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,18690000.0
Lenovo IdeaPad 5 14 AMD (Chính hãng) (82LM00D5VN),Lenovo,AMD Ryzen 7 5700U,AMD,8.0,16.0,AMD Radeon Graphics,0.0,1.0,0.0,,44.0,14.0,1920.0,1080.0,TN,Matte,0,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,18690000.0
ASUS Vivobook 15 M513 (M513UA-EJ033T),Asus,AMD Ryzen 7 5700U,AMD,8.0,16.0,AMD Radeon Graphics,0.0,1.0,0.0,1.8,42.0,15.6,1920.0,1080.0,TN,Matte,1,0,0,0,,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,18790000.0
ASUS Vivobook 15 M513 OLED (M513UA-L1221T),Asus,AMD Ryzen 5 5500U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,,42.0,15.6,1920.0,1080.0,OLED,Matte,0,0,0,0,,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,18790000.0
Asus Vivobook 14 A415 (A415EA-EB360T),Asus,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.4,42.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,64.0,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,18790000.0
Asus Vivobook 14 Pro OLED (M3401QA-KM040W),Asus,AMD Ryzen 7 5800H,AMD,8.0,16.0,Radeon Graphics,0.0,1.0,0.0,1.4,63.0,14.0,2880.0,1800.0,OLED,,0,0,0,0,100.0,90.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,18790000.0
Lenovo Yoga Slim 7i 14 (Chính hãng) (82A3002QVN),Lenovo,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.36,60.0,14.0,1920.0,1080.0,IPS,Glossy,0,0,0,0,100.0,60.0,2.0,2.0,1,8.0,DDR4,3200.0,0.0,512.0,18890000.0
Dell Inspiron 5415 (Chính hãng) (TX4H61),Dell,AMD Ryzen 7 5700U,AMD,8.0,16.0,Radeon™ Graphics,0.0,1.0,0.0,1.4,54.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,,3200.0,0.0,512.0,18990000.0
Asus ZenBook 14 UX425 (UX425EA-KI839W),Asus,Intel Core i5-1135G7,Intel,4.0,8.0,Iris Xe Graphics,0.0,0.0,0.0,1.17,67.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,100.0,60.0,2.0,1.0,1,8.0,,4266.0,0.0,512.0,18990000.0
HP 240 G8 Intel gen 11 (Chính hãng) (617L5PA),HP,Intel Core i5-1135G7,Intel,4.0,8.0,Intel® Iris® Xe Graphics,1.0,0.0,0.0,1.47,41.0,14.0,1920.0,1080.0,IPS,,0,0,0,1,,,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,18990000.0
HP 15-DY2093DX,HP,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe Graphics,1.0,0.0,0.0,1.69,41.0,15.6,1920.0,1080.0,IPS,Matte,0,0,0,0,60.0,60.0,1.0,2.0,0,8.0,DDR4,2666.0,0.0,256.0,18990000.0
HP ProBook 440 G8 (Chính hãng) (342H3PA),HP,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.38,45.0,14.0,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,18990000.0
